pais,escenario,idoneidad
Colombia,Pesimista,0.01085239090025425
Colombia,Actual,0.24883952736854553
Colombia,Optimista,0.060552697628736496
Colombia,Pesimista,0.011132372543215752
Colombia,Actual,0.19187429547309875
Colombia,Optimista,0.04511953517794609
Colombia,Pesimista,0.008177942596375942
Colombia,Actual,0.16646640002727509
Colombia,Optimista,0.03866596519947052
Colombia,Pesimista,0.006978141143918037
Colombia,Actual,0.33732500672340393
Colombia,Optimista,0.07886786758899689
Colombia,Pesimista,0.013883719220757484
Colombia,Actual,0.19994987547397614
Colombia,Optimista,0.04355539008975029
Colombia,Pesimista,0.007551378104835749
Colombia,Actual,0.2315649539232254
Colombia,Optimista,0.05120979622006416
Colombia,Pesimista,0.008909919299185276
Colombia,Actual,0.23951926827430725
Colombia,Optimista,0.05315953493118286
Colombia,Pesimista,0.009259741753339767
Colombia,Actual,0.21757526695728302
Colombia,Optimista,0.04774913936853409
Colombia,Pesimista,0.008300919085741043
Colombia,Actual,0.2092849463224411
Colombia,Optimista,0.04572030529379845
Colombia,Pesimista,0.007944694720208645
Colombia,Actual,0.22679294645786285
Colombia,Optimista,0.049911290407180786
Colombia,Pesimista,0.00869415607303381
Colombia,Actual,0.23195204138755798
Colombia,Optimista,0.051091909408569336
Colombia,Pesimista,0.0089113125577569
Colombia,Actual,0.21753506362438202
Colombia,Optimista,0.04750175029039383
Colombia,Pesimista,0.008278697729110718
Colombia,Actual,0.020886054262518883
Colombia,Optimista,0.004601525142788887
Colombia,Pesimista,8.448247099295259e-4
Colombia,Actual,0.04866097867488861
Colombia,Optimista,0.010833772830665112
Colombia,Pesimista,0.0019938924815505743
Colombia,Actual,0.12587270140647888
Colombia,Optimista,0.028929609805345535
Colombia,Pesimista,0.005363570060580969
Colombia,Actual,0.27268916368484497
Colombia,Optimista,0.067119501531124115
Colombia,Pesimista,0.012629924342036247
Colombia,Actual,0.2482379674911499
Colombia,Optimista,0.06040037423372269
Colombia,Pesimista,0.01130301970988512
Colombia,Actual,0.2450830489397049
Colombia,Optimista,0.059577640146017075
Colombia,Pesimista,0.011115439236164093
Colombia,Actual,0.24193835258483887
Colombia,Optimista,0.058760590851306915
Colombia,Pesimista,0.010929512791335583
Colombia,Actual,0.238804429769516
Colombia,Optimista,0.05794934928417206
Colombia,Pesimista,0.010745271109044552
Colombia,Actual,0.23448723554611206
Colombia,Optimista,0.056821439415216446
Colombia,Pesimista,0.010501683689653873
Colombia,Actual,0.23662933707237244
Colombia,Optimista,0.057360220700502396
Colombia,Pesimista,0.010586708784103394
Colombia,Actual,0.24352391064167023
Colombia,Optimista,0.05911562219262123
Colombia,Pesimista,0.01091300044208765
Colombia,Actual,0.24972689151763916
Colombia,Optimista,0.060700636357069016
Colombia,Pesimista,0.011204874143004417
Colombia,Actual,0.17071625590324402
Colombia,Optimista,0.039739325642585754
Colombia,Pesimista,0.007207854185253382
Colombia,Actual,0.0936017706990242
Colombia,Optimista,0.021058546379208565
Colombia,Pesimista,0.0037820697762072086
Colombia,Actual,0.3064955174922943
Colombia,Optimista,0.07076375186443329
Colombia,Pesimista,0.012401039712131023
Colombia,Actual,0.18623921275138855
Colombia,Optimista,0.04046979919075966
Colombia,Pesimista,0.007002420257776976
Colombia,Actual,0.1926773637533188
Colombia,Optimista,0.041978202760219574
