presencia_ausencia,clorofila_media,salinidad_rango,temperatura_rango,velocidad_corriente_media,ph_rango,batimetria,distancia_costa,concavidad
1,0.08355311304330826,1.2579946517944336,3.3341593742370605,0.2401612251996994,0.050848588347435,-2,38,0
1,0.08355416357517242,1.2543730735778809,3.3220245838165283,0.24774983525276184,0.05088387429714203,-2,39,0
1,0.08355311304330826,1.2579946517944336,3.3341593742370605,0.2401612251996994,0.050848588347435,-2,38,0
1,0.08352014422416687,1.2552920579910278,3.3263325691223145,0.24032744765281677,0.05095202475786209,-2,39,0
1,0.08337707817554474,1.296519160270691,3.098350763320923,0.19580313563346863,0.057088132947683334,-4,106,14
1,0.08335154503583908,1.2040214538574219,3.219689130783081,0.2058563083410263,0.050972215831279755,-3,1,3
1,0.08499901741743088,1.6460078954696655,3.2264699935913086,0.21858026087284088,0.05783050134778023,-2,162,0
1,0.22483649849891663,2.0061962604522705,2.9325811862945557,0.20346318185329437,0.06845233589410782,-1,1,9
1,0.26432979106903076,3.1949596405029297,7.354349136352539,0.3468499779701233,0.051690518856048584,-10,1,-15
1,0.2431316375732422,2.14526629447937,3.013946771621704,0.08149779587984085,0.06929873675107956,-22,1,-22
1,0.08501862734556198,1.5934332609176636,3.1924169063568115,0.33910325169563293,0.0569370836019516,-217,150,-797
1,0.264894038438797,3.234802007675171,7.285497665405273,0.3235929012298584,0.051745541393756866,-36,4,-26
1,0.26447248458862305,3.2096078395843506,7.310640335083008,0.33072441816329956,0.05164661630988121,-7,2,27
0,0.09905020892620087,3.84426212310791,3.2308459281921387,0.1365298330783844,0.05400283634662628,-3182,118,-5
0,0.08807969093322754,1.1770997047424316,3.289318799972534,0.17461887001991272,0.05310428515076637,-3162,196,8
0,0.11201424151659012,2.7323503494262695,4.000157356262207,0.3540375530719757,0.04947471618652344,-3981,123,36
0,0.08917436003684998,2.0192697048187256,3.4464540481567383,0.30809861421585083,0.052679695188999176,-1663,261,3
0,0.10155085474252701,2.779392719268799,3.6710851192474365,0.3414778411388397,0.05181571841239929,-4052,155,9
0,0.08676860481500626,1.557741403579712,3.5005099773406982,0.15870033204555511,0.05348933860659599,-2753,214,-1
0,0.0928153395652771,3.4472522735595703,3.3421242237091064,0.14070026576519012,0.05580054596066475,-1463,76,70
0,0.7410000562667847,2.5595543384552,3.905780792236328,0.15103454887866974,0.08373073488473892,-19,9,2
0,0.08772634714841843,1.8313026428222656,3.8057503700256348,0.0350770466029644,0.055780258029699326,-3259,187,-2
0,0.08850698173046112,1.6156209707260132,3.6759073734283447,0.22734016180038452,0.05188803747296333,-3692,258,2
0,0.08967813104391098,1.9667199850082397,3.743544578552246,0.24021123349666595,0.05113805830478668,-3538,226,-2
0,0.08804208785295486,1.2127914428710938,3.200629234313965,0.17731185257434845,0.0530419684946537,-3226,194,5
0,0.10350511223077774,2.4630041122436523,4.163808822631836,0.32536330819129944,0.05408415198326111,-4014,231,1
0,0.10951454937458038,1.3689184188842773,3.731020450592041,0.1012687161564827,0.07774300873279572,-16,17,2
0,0.08298271894454956,1.2489193677902222,3.3279778957366943,0.1562017947435379,0.05529606342315674,-543,65,-101
0,0.08868516236543655,1.6556566953659058,3.2432806491851807,0.3625454902648926,0.049847494810819626,-3548,269,2
0,0.08468858152627945,1.0564556121826172,3.267076253890991,0.18170195817947388,0.05883993208408356,-38,65,-3
0,0.10083179920911789,1.1902329921722412,3.370659112930298,0.14079882204532623,0.06953885406255722,-22,4,1
0,0.09898579865694046,2.111295223236084,3.6997392177581787,0.3557739853858948,0.04852777346968651,-4014,339,-9
0,2.7048754692077637,7.711302280426025,4.766597747802734,0.08801371604204178,0.09744233638048172,-603,29,-2
0,0.18491093814373016,4.739480495452881,4.44219446182251,0.10684047639369965,0.04878855496644974,-646,19,-6
0,0.10215853154659271,1.940147876739502,3.82913875579834,0.33774009346961975,0.04868728667497635,-3969,305,-1
0,0.2128647118806839,1.8423914909362793,4.423808574676514,0.13736368715763092,0.09193999320268631,-6,11,-3
0,0.25946009159088135,3.3701748847961426,4.580144882202148,0.16600419580936432,0.04524710401892662,-3697,108,2
0,0.09669245779514313,2.391069173812866,3.779484748840332,0.2949824035167694,0.05317431315779686,-3774,232,37
0,0.0893140658736229,1.8271552324295044,3.314229726791382,0.37479686737060547,0.050140101462602615,-3593,294,-11
0,0.08696909993886948,2.4638476371765137,3.86799955368042,0.21778856217861176,0.055636774748563766,-3406,303,13
0,0.1770750880241394,2.0231971740722656,4.047739028930664,0.03356160968542099,0.07900096476078033,-22,32,1
0,0.20609578490257263,1.286450743675232,3.086376428604126,0.5784239172935486,0.06752113997936249,-1392,34,-6
