pais,escenario,idoneidad,idoneidad_tf
Colombia,Actual,0.24853689968585968,0.24853777024621693
Colombia,Optimista,0.06023648381233215,0.06023800626506292
Colombia,Pesimista,0.010959899052977562,0.010961592100285342
Colombia,Actual,0.25278836488723755,0.25278922072910504
Colombia,Optimista,0.061350636184215546,0.061352154779772496
Colombia,Pesimista,0.011149161495268345,0.011150853887353235
Colombia,Actual,0.2592393755912781,0.2592402090998721
Colombia,Optimista,0.06306588649749756,0.06306739915489132
Colombia,Pesimista,0.011445706710219383,0.011447398075670513
Colombia,Actual,0.23718510568141937,0.23718601554146646
Colombia,Optimista,0.057027220726013184,0.057028754289150274
Colombia,Pesimista,0.010298077017068863,0.010299772355591645
Colombia,Actual,0.19880613684654236,0.1988071795738323
Colombia,Optimista,0.046898484230041504,0.046900052858667135
Colombia,Pesimista,0.008411151356995106,0.008412853228017785
Colombia,Actual,0.16906286776065826,0.16906401345856667
Colombia,Optimista,0.03931547328829765,0.039317068169159516
Colombia,Pesimista,0.007010048255324364,0.007011754976938701
Colombia,Actual,0.11194245517253876,0.1119437986202034
Colombia,Optimista,0.025650961324572563,0.025652603511708796
Colombia,Pesimista,0.004686848726123571,0.004688563490609446
Colombia,Actual,0.2647824287414551,0.26478324306010703
Colombia,Optimista,0.06510458886623383,0.06510609446567968
Colombia,Pesimista,0.012070677243173122,0.012072366444988436
Colombia,Actual,0.23646745085716248,0.23646836320171657
Colombia,Optimista,0.05733649805188179,0.0573380305443068
Colombia,Pesimista,0.010571414604783058,0.010573108997016434
Colombia,Actual,0.23269343376159668,0.23269435917172449
Colombia,Optimista,0.056316077709198,0.05631761373429836
Colombia,Pesimista,0.010355228558182716,0.010356923698847977
Colombia,Actual,0.22894269227981567,0.22894363067493748
Colombia,Optimista,0.055306948721408844,0.055308488240094114
Colombia,Pesimista,0.010141774080693722,0.010143469960334228
Colombia,Actual,0.22521591186523438,0.2252168631623974
Colombia,Optimista,0.054309118539094925,0.054310661512248865
Colombia,Pesimista,0.009931049309670925,0.009932745918836486
Colombia,Actual,0.22709684073925018,0.22709778552467408
Colombia,Optimista,0.05476699024438858,0.054768531632399586
Colombia,Pesimista,0.010000995360314846,0.01000269172732854
Colombia,Actual,0.2341146320104599,0.23411555250042704
Colombia,Optimista,0.05656437948346138,0.056565914648945836
Colombia,Pesimista,0.010328029282391071,0.010329724517219694
Colombia,Actual,0.23955370485782623,0.2395546065178291
Colombia,Optimista,0.057953011244535446,0.057954541602603785
Colombia,Pesimista,0.010576586239039898,0.010578280613369177
Colombia,Actual,0.24521730840206146,0.2452181904547791
Colombia,Optimista,0.05941705405712128,0.0594185793467019
Colombia,Pesimista,0.010837043635547161,0.010838737108178004
Colombia,Actual,0.25014156103134155,0.2501424260363925
Colombia,Optimista,0.06069544330239296,0.06069696416621491
Colombia,Pesimista,0.011060458607971668,0.011062151307144228
Colombia,Actual,0.25428566336631775,0.2542865140245671
Colombia,Optimista,0.06177521497011185,0.061776732095785304
Colombia,Pesimista,0.011244305409491062,0.011245997472189575
Colombia,Actual,0.2646830379962921,0.2646838526590329
Colombia,Optimista,0.0645756945014,0.06457720193186785
Colombia,Pesimista,0.011746174655854702,0.011747864981091654
Colombia,Actual,0.21349969506263733,0.21350068692111482
Colombia,Optimista,0.050758667290210724,0.050760222554957754
Colombia,Pesimista,0.0091587090864777565,0.009160408369470132
Colombia,Actual,0.13941994309425354,0.13942119141539
Colombia,Optimista,0.03201654553413391,0.03201816568374155
Colombia,Pesimista,0.0057183317840099335,0.005720042977521545
Colombia,Actual,0.05336380749940872,0.05336535374521107
Colombia,Optimista,0.011806597001850605,0.011808287117906572
Colombia,Pesimista,0.002086058259010315,0.002087782027382149
Colombia,Actual,0.06409434229135513,0.06409585138825497
Colombia,Optimista,0.014384542591869831,0.014386223783128359
Colombia,Pesimista,0.0026261447928845882,0.0026278666914873574
Colombia,Actual,0.21757155656814575,0.217572534329918
Colombia,Optimista,0.05224081128835678,0.05224236142195015
Colombia,Pesimista,0.00967868696898222,0.009680384451821289
Colombia,Actual,0.24948035180568695,0.24948121909983134
Colombia,Optimista,0.06084602326154709,0.06084754360406415
Colombia,Pesimista,0.01128670945763588,0.011288401373532403
Colombia,Actual,0.23826560378074646,0.23826650990013015
Colombia,Optimista,0.057809215039014816,0.057810745894902815
Colombia,Pesimista,0.010682457126677036,0.010684151134483363
Colombia,Actual,0.23464687168598175,0.2346477903333455
Colombia,Optimista,0.05684751644730568,0.05684905063257548
Colombia,Pesimista,0.010473547503352165,0.01047524223439954
Colombia,Actual,0.2310507446527481,0.23105167574983362
Colombia,Optimista,0.05589597299695015,0.055897510476444846
Colombia,Pesimista,0.010267245583236217,0.010268941028496825
Colombia,Actual,0.22747793793678284,0.22747888140285566
Colombia,Optimista,0.05495468154549599,0.05495622228372336
Colombia,Pesimista,0.010063568130135536,0.01006526428052352
Colombia,Actual,0.2293606549501419,0.22936159189828506
Colombia,Optimista,0.05541964992880821,0.0554211890573241
Colombia,Pesimista,0.01013371255248785,0.01013540846003721
Colombia,Actual,0.23647409677505493,0.236475009096601
Colombia,Optimista,0.05724082142114639,0.057242354244802035
Colombia,Pesimista,0.010466400533914566,0.010468095289704611
Colombia,Actual,0.2439683973789215,0.2439692837553448
Colombia,Optimista,0.059183500707149506,0.05918502680528728
